Model,Reference number,Movement,Case material,Bracelet material,Year of production,Condition,Gender,Price,shipping,Seller Name,Base caliber,Dial,Dial numerals,Confirm Reference Number ,Condition Details,Box,Papers,Country,City
GMT-Master II,126755SARU,Automatic,Rose gold,Rose gold,2023,New,Male,Unknown,2986,The Zeit Club,Unknown,Black,None,126755SARU,Unknown,Yes,Yes,United Kingdom,Canary Wharf
Submariner,5513,Automatic,Steel,Steel,1973,Used,Male,31060,200,Watches Management,3135,Unknown,,5513,Very good,Yes,Yes,Italy,Rimini
Datejust 31,178240,Automatic,Steel,Steel,Unknown,nan,Female,8545,191,Happy Jewelers,2235,Black,,178240,Unknown,No,No,Unknown,Unknown
Oyster Perpetual 36,126000,Automatic,Steel,Steel,2022,New,Male,Unknown,65,The Watch Address,3235,Pink,None,126000,Unknown,Yes,Yes,Unknown,Maastricht
Oysterdate Precision,9097691988268,Manual winding,Steel,Steel,1964,Used,Male,9072,408,KUROFUNE&PARTNERS.CO,Unknown,,,No Reference,Good,No,Yes,Japan,Tokyo
Datejust 41,0009,Automatic,Gold/Steel,Gold/Steel,2023,Like new & unworn,Male,21859,0,Prymtime Watches LLC,Unknown,,,No Reference,Unknown,Yes,Yes,Unknown,"New Jersey, Sea Girt"
Datejust 41,126334,Automatic,Steel,Steel,2022,Like new & unworn,Male,21207,191,EXCLUSIVE TIMEPIECES NYC,3135,White,None,126334,Unknown,Yes,Yes,Unknown,"New York, New York"
Submariner Date,16610,Automatic,Steel,Steel,Unknown,nan,Male,16250,151,Diamond & Jewelry Gallery,3135,Black,None,16610,Unknown,No,No,Unknown,Unknown
Air King,14010,Automatic,Steel,Steel,Unknown,nan,Male,8231,158,Watchoyster SA,Unknown,Black,None,14010,Unknown,No,No,Unknown,Unknown
Submariner Date,16800,Automatic,Steel,Steel,1982,Used,Male,25937,175,Monster Time Gallery,3135,Black,None,16800,Fair,Yes,Yes,Singapore,Singapore
Lady-Datejust,178273,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Female,21401,333,Filipucci Juweliers,Unknown,Unknown,,178273,Unknown,No,No,Unknown,Unknown
Yacht-Master 40,126621,Automatic,Gold/Steel,Gold/Steel,2023,New,Male,31120,163,Swiss Connection Watches Pte Ltd,Unknown,Brown,None,126621,Unknown,Yes,Yes,Malaysia,Kuala Lumpur
Datejust 36,16014,Automatic,Steel,Steel,1979,Used,Male,8697,534,Watch Them Tick,3035,Silver,None,16014,Good,No,No,Unknown,Unknown
Day-Date II,218235,Automatic,Rose gold,Rose gold,Unknown,nan,Unknown,76593,291,Juwelier & Leihhaus Leopold OHG,Unknown,,,218235,Unknown,No,No,Germany,Berlin
Milgauss,116400GV,Automatic,Steel,Steel,Unknown,Used,Male,20355,620,Geneva Watch Co.,3131,Blue,None,116400GV,Very good,Yes,Yes,Switzerland,Geneve
Datejust 41,126334,Automatic,White gold,White gold,Unknown,nan,Male,20789,456,Belor Time Legacy,3135,Silver,None,126334,Unknown,No,No,Unknown,Unknown
Submariner,5512,Automatic,Steel,Steel,Unknown,nan,Male,40803,0,Schmuck an der Kettenbrücke Görtler GmbH,3135,Black,None,5512,Unknown,No,No,Unknown,Unknown
Datejust,8744983298348,Automatic,Steel,Steel,1969,Used,Male,7033,408,KUROFUNE&PARTNERS.CO,Unknown,,,No Reference,Good,No,Yes,Japan,Tokyo
Submariner Date,126610LN,Automatic,Steel,Steel,Unknown,nan,Male,23233,333,Filipucci Juweliers,Unknown,Unknown,,126610LN,Unknown,No,No,Unknown,Unknown
Air King Date,5700,Automatic,Steel,Steel,1963,Used,Male,7248,191,Second Time Around Watch Company,Unknown,,,5700,Very good,No,Yes,Unknown,"California, Beverly Hills"
Yacht-Master 40,16622,Automatic,Steel,Steel,1998,Used,Unknown,15427,398,WatchTraderUK,Unknown,,,16622,Very good,Yes,Yes,Unknown,Unknown
Lady-Datejust,69173,Automatic,Steel,Steel,Unknown,nan,Female,8958,165,BQ Watches,2135,Champagne,None,69173,Unknown,No,No,Unknown,Unknown
Datejust 36,126233,Automatic,Steel,Gold/Steel,2024,Like new & unworn,Female,27000,0,Unknown,3135,Champagne,None,No Reference,Unknown,Yes,Yes,Australia,Sydney
Oyster Perpetual 41,124300,Automatic,Steel,Steel,2023,Like new & unworn,Male,13322,72,ChronoTimepieces,Unknown,Blue,None,124300,Unknown,Yes,Yes,Bulgaria,Sofia
GMT-Master II,126711CHNR,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,32912,305,Arda and Co.,3285,Black,None,126711CHNR,Unknown,No,No,Unknown,Unknown
Submariner Date,126610LN,Automatic,Steel,Steel,2021,Used,Unknown,22394,398,WatchTraderUK,Unknown,,,126610LN,Very good,Yes,Yes,Unknown,Unknown
Daytona,116520,Automatic,Steel,Steel,2002,Used,Male,49280,0,Passione SRL,4130,White,None,116520,Very good,Yes,Yes,Italy,Matrice
Datejust 31,68273,Automatic,Gold/Steel,Gold/Steel,1995,Used,Female,12907,165,LifeTime Watches B.V.,2135,Gold,None,68273,Very good,No,No,Unknown,Unknown
GMT-Master II,16710,Automatic,Unknown,Unknown,Unknown,nan,Unknown,16772,0,Huntington Watch,Unknown,,,16710,Unknown,No,No,Unknown,Unknown
Datejust 36,126233,Automatic,Steel,Steel,Unknown,nan,Male,19666,151,Watch My Diamonds,Unknown,,,126233,Unknown,No,No,Unknown,Unknown
Oyster Perpetual 34,124200,Automatic,Steel,Steel,Unknown,nan,Male,Unknown,148,RACETIME24 (RT 24 S.R.L.),3235,Black,None,124200,Unknown,No,No,Unknown,Unknown
Submariner Date,116619LB,Automatic,White gold,White gold,Unknown,nan,Unknown,54543,167,Van Wonderen Watches B.V.,Unknown,,,116619LB,Unknown,No,No,Unknown,Purmerend
Sea-Dweller Deepsea,126660,Automatic,Steel,Steel,Unknown,nan,Male,22582,305,Arda and Co.,3235,Blue,None,126660,Unknown,No,No,Unknown,Unknown
Daytona,116520,Automatic,Steel,Steel,Unknown,nan,Male,33557,761,"CollectorsWatches - Massapequa Park, NY",Unknown,,,116520,Unknown,No,No,Unknown,Unknown
GMT-Master II,16710,Automatic,Steel,Steel,Unknown,nan,Male,21354,229,Luxury Bazaar,Unknown,,,16710,Unknown,No,No,Unknown,Unknown
Oyster Precision,6426,Manual winding,Steel,Steel,2024,nan,Unknown,3466,0,Cadran Patine,Unknown,Black,None,6426,Unknown,No,No,Unknown,Unknown
GMT-Master II,126710GRNR,Automatic,Steel,Steel,2024,New,Male,31626,964,IA Luxury Jewelry,3186,Black,None,126710GRNR,Unknown,Yes,Yes,France,Paris
Datejust II,6973RE,Automatic,Steel,Steel,2015,Used,Male,15805,115,TIMEOUTLET SPAIN S.L.,Unknown,,,No Reference,Very good,Yes,Yes,Spain,Marbella
Day-Date 36,1803,Automatic,White gold,White gold,Unknown,nan,Unknown,20504,354,Lazuli Vintage Watches,1570,Silver,None,1803,Unknown,No,No,Unknown,Unknown
Daytona,116515ln,Automatic,Rose gold,Rubber,2022,Used,Male,63201,299,Dao Watches UK,4130,Black,,116515ln,Very good,Yes,Yes,United Kingdom,London
Daytona,16520,Automatic,Steel,Steel,Unknown,nan,Male,38135,761,"CollectorsWatches - Massapequa Park, NY",Unknown,,,16520,Unknown,No,No,Unknown,Unknown
Explorer I,124273,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Unknown,16169,189,Bramlys Ltd,Unknown,,,124273,Unknown,No,No,United Kingdom,Salisbury
Lady-Datejust,279381RBR,Automatic,Gold/Steel,Gold/Steel,2020,Used,Female,28379,197,Timeless Luxury,2235,White,None,279381RBR,Very good,Yes,Yes,Unknown,"Georgia, Atlanta"
Sky-Dweller,326235,Automatic,Rose gold,Rubber,2021,Used,Male,65602,304,Certified Swiss,3135,Grey,None,326235,Good,Yes,Yes,Unknown,"Florida, Ft Lauderdale"
Explorer I,14270,Automatic,Steel,Steel,Unknown,nan,Male,7095,0,Asutaba Inc.,Unknown,Black,Arabic,14270,Unknown,No,No,Unknown,Unknown
Air King,116900,Unknown,Steel,Steel,2018,Used,Male,14253,0,Juwelier Ralf Häffner,Unknown,Black,Arabic,116900,Very good,Yes,Yes,Germany,Stuttgart-Mitte
Explorer II,16570,Automatic,Steel,Steel,2000,Used,Unknown,12574,0,Paradiso Luxury,Unknown,,,16570,Very good,Yes,Yes,Unknown,Unknown
Datejust 31,68278,Automatic,Yellow gold,Yellow gold,1990,Used,Female,26863,199,TB Timepieces Ltd,Unknown,Champagne,None,No Reference,Very good,Yes,Yes,United Kingdom,Surrey
Explorer II,16550,Automatic,Steel,Steel,1988,Used,Male,48416,153,Deep Arrow Inc. Fujihan,Unknown,White,None,16550,Good,No,No,Japan,Fuji City Shizuoka
Oyster Perpetual Date,15000,Automatic,Steel,Steel,Unknown,nan,Male,8743,98,TE Watches,3035,Silver,None,15000,Unknown,No,No,Unknown,Unknown
Sky-Dweller,326933,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,33491,0,Affordable Swiss Watches Inc.,3135,White,None,326933,Unknown,No,No,Unknown,Unknown
Yacht-Master 40,126621,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,24485,151,Watch My Diamonds,Unknown,,,126621,Unknown,No,No,Unknown,Unknown
Sky-Dweller,326934,Automatic,Steel,Steel,2022,Like new & unworn,Male,38816,165,A-Z Sourcing London,3135,Blue,None,326934,Unknown,Yes,Yes,United Kingdom,London
Daytona,116519,Automatic,White gold,Leather,Unknown,Used,Male,81837,323,ANTEENEEA LIMITED,4130,Pink,,116519,Good,No,Yes,Hong Kong,Hongkong
Oyster Perpetual 34,1002,Automatic,Steel,Steel,1970,Used,Male,6160,0,Collect-it.de GmbH,Unknown,Blue,None,1002,Good,No,No,Unknown,Unknown
3535,1332,Manual winding,Gold/Steel,Leather,1940,Used,Unknown,20462,0,Watch Center - Lugano - Swiss,Unknown,Unknown,,No Reference,Very good,No,Yes,Unknown,Unknown
Sea-Dweller,136660,Automatic,Steel,Steel,Unknown,nan,Male,23803,151,Watch My Diamonds,Unknown,,,136660,Unknown,No,No,Unknown,Unknown
Datejust 36,116200,Automatic,Steel,Steel,Unknown,nan,Male,13370,132,UrHandleren.dk,3135,Silver,,116200,Unknown,No,No,Unknown,Unknown
Daytona,116508,Automatic,Yellow gold,Yellow gold,2021,Used,Male,168204,398,AJ Chrono,4130,Silver,None,116508,Very good,Yes,Yes,United Kingdom,London
Datejust 41,126334,Automatic,Steel,Steel,Unknown,nan,Male,23269,151,Watch My Diamonds,Unknown,,,126334,Unknown,No,No,Unknown,Unknown
Datejust 36,16233,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,12205,312,Timepiece360,Unknown,White,,16233,Unknown,No,No,Unknown,Unknown
Daytona,116518LN,Automatic,Yellow gold,Rubber,2023,New,Male,77334,165,TB Timepieces Ltd,Unknown,Champagne,None,116518LN,Unknown,Yes,Yes,United Kingdom,London
Datejust 31,278271,Automatic,Gold/Steel,Gold/Steel,2024,Like new & unworn,Female,22880,374,Tribeca Watch Inc,3135,Pink,,278271,Unknown,Yes,Yes,Unknown,"New York, New York City"
Explorer I,124273,Automatic,Gold/Steel,Gold/Steel,2023,Like new & unworn,Male,16242,0,Watch Limit,3230,Black,Arabic,124273,Unknown,Yes,Yes,Unknown,"New York, New York"
Daytona,116509,Automatic,White gold,White gold,2018,New,Male,74861,333,BEST SPAIN WATCHES,4130,Unknown,,116509,Unknown,Yes,Yes,Spain,Palma De Mallorca
Datejust 36,1601,Automatic,Steel,Steel,2024,nan,Unknown,8244,125,Timeless Timepieces,1570,Unknown,,1601,Unknown,No,No,Unknown,Unknown
Lady-Datejust,279383RBR,Automatic,Gold/Steel,Gold/Steel,2021,Used,Female,30821,763,Giganti & Giganti Fine Jewelry,Unknown,Silver,None,279383RBR,Very good,Yes,Yes,Unknown,"Illinois, Springfield"
Daytona,126500ln,Automatic,Steel,Steel,2024,New,Male,52946,151,Watches OFF 5TH,Unknown,White,None,126500ln,Unknown,Yes,Yes,Unknown,"New York, New York"
GMT-Master,1675,Automatic,Steel,Steel,1978,Used,Male,22275,197,Timeless Luxury,Unknown,Black,None,1675,Very good,No,Yes,Unknown,"Georgia, Atlanta"
Day-Date 36,18238,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,27220,151,Luxuriant Concierge,3055,Gold,None,18238,Unknown,No,No,Unknown,Unknown
Daytona,16528,Automatic,Yellow gold,Yellow gold,1991,Used,Male,70780,167,Q-Watches,Unknown,Black,None,16528,Very good,Yes,Yes,Germany,Düsseldorf
Oyster Perpetual Date,1500,Automatic,Steel,Steel,1980,Used,Male,7078,83,Vintage Watches Valencia,3035,Silver,None,1500,Very good,Yes,Yes,Spain,Valencia
Oyster Perpetual,67180,Automatic,Steel,Steel,1995,Used,Male,5328,0,Plus Watch - Luxury Watches,Unknown,,,67180,Very good,Yes,Yes,Italy,L'Aquila
GMT-Master II,16713,Automatic,Gold/Steel,Gold/Steel,2006,Used,Male,18811,165,Jopsons Jewellers,3135,Black,None,16713,Very good,Yes,Yes,United Kingdom,Carlisle
Datejust 36,126200,Automatic,Steel,Steel,2024,Like new & unworn,Male,12809,0,Watch Limit,3135,Black,None,126200,Unknown,Yes,Yes,Unknown,"New York, New York"
Lady-Datejust,69173,Automatic,Gold/Steel,Gold/Steel,1988,Used,Female,6103,151,Ari's Luxury Watch,2135,Champagne,None,69173,Good,No,Yes,Unknown,"New York, New York"
Datejust 31,178274,Automatic,Steel,Steel,2014,Used,Female,14906,130,"Grupo Metalgem, S.L",2235,Blue,None,178274,Very good,No,No,Unknown,Unknown
Submariner,6536,Automatic,Steel,Steel,Unknown,Used,Male,50487,148,Watch4watch,Unknown,Black,None,6536,Very good,No,Yes,Italy,Riolo Terme
Daytona,116503,Automatic,Gold/Steel,Gold/Steel,2024,New,Male,43301,175,Rarist,4130,Black,None,116503,Unknown,Yes,Yes,Poland,Kraków
Yacht-Master 40,126621,Automatic,Gold/Steel,Gold/Steel,2023,New,Male,28838,304,Leo's Jewelry,Unknown,Brown,None,126621,Unknown,Yes,Yes,Unknown,"Michigan, Wayne"
GMT-Master II,126710GRNR,Automatic,Steel,Steel,Unknown,Like new & unworn,Unknown,33294,459,"Ueda Co., Ltd.",Unknown,,,126710GRNR,Unknown,Yes,Yes,Unknown,Unknown
Daytona,116503,Automatic,Gold/Steel,Gold/Steel,2020,Used,Male,36826,697,Eight Luxuries Limited,4130,Champagne,None,116503,Good,Yes,Yes,United Kingdom,Westminister
Datejust 36,126200,Automatic,Steel,Steel,Unknown,nan,Male,19697,0,Swiss Watch Company UK Ltd.,Unknown,,,126200,Unknown,No,No,Unknown,Unknown
Daytona,116500LN,Automatic,Steel,Steel,Unknown,nan,Male,44172,229,Luxury Bazaar,Unknown,,,116500LN,Unknown,No,No,Unknown,Unknown
Lady-Datejust,79174,Automatic,Steel,Steel,Unknown,nan,Female,11943,165,BQ Watches,2235,Silver,,79174,Unknown,No,No,Unknown,Unknown
Milgauss,116400,Automatic,Steel,Steel,2020,Like new & unworn,Male,22815,0,Plus Watch - Luxury Watches,Unknown,Blue,None,No Reference,Unknown,Yes,Yes,Italy,L'Aquila
Yacht-Master 40,126622,Automatic,Steel,Steel,2024,New,Male,23877,318,GMG Watches Ltd,Unknown,Grey,None,126622,Unknown,Yes,Yes,United Kingdom,London
Oyster Perpetual 31,67480,Automatic,Steel,Steel,Unknown,nan,Male,8494,83,LOVE AND FUN PRODUCTION UG,Unknown,Blue,Arabic,67480,Unknown,No,No,Unknown,Unknown
Yacht-Master 40,126622,Automatic,Steel,Steel,2024,New,Male,25564,581,Time to Trade,3235,Grey,None,126622,Unknown,Yes,Yes,Unknown,Weesp
Datejust 36,126234,Automatic,Steel,Steel,2024,Like new & unworn,Male,18691,229,Watch Affinity,3135,Green,None,126234,Unknown,Yes,Yes,Unknown,"Texas, Austin"
Yacht-Master 40,126621,Automatic,Gold/Steel,Gold/Steel,2022,Like new & unworn,Male,32188,833,Bartłomiej Przybył,Unknown,Brown,None,126621,Unknown,Yes,Yes,Poland,Kraków
Milgauss,116400GV,Automatic,Steel,Steel,Unknown,nan,Male,18264,305,Arda and Co.,3131,Blue,None,116400GV,Unknown,No,No,Unknown,Unknown
Datejust II,116300,Automatic,Steel,Steel,Unknown,nan,Male,25405,229,ElegantSwiss,3135,Blue,,116300,Unknown,No,No,Unknown,Unknown
GMT-Master II,7556532994188,Automatic,Rose gold,Rose gold,2018,Used,Unknown,58736,304,David and Sons Timepieces,Unknown,,,No Reference,Good,Yes,Yes,Unknown,Unknown
GMT-Master II,16710,Automatic,Steel,Steel,Unknown,nan,Male,18313,299,The Luxury Hut,3185,Black,None,16710,Unknown,No,No,Unknown,Unknown
Submariner Date,16618,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,48826,252,Jahan Diamond Imports,Unknown,Black,None,16618,Unknown,No,No,Unknown,Unknown
Sea-Dweller Deepsea,136660,Automatic,Steel,Steel,2023,New,Male,27198,381,Watch Time Fly USA,Unknown,,,136660,Unknown,Yes,Yes,Unknown,"New York, New York"
Lady-Datejust,179174,Automatic,Steel,Steel,2014,Used,Female,11645,199,TB Timepieces Ltd,Unknown,Silver,,179174,Very good,Yes,Yes,United Kingdom,Surrey
Datejust 41,126300,Automatic,Steel,Steel,2023,Like new & unworn,Male,18081,229,Watch Affinity,3135,Green,None,126300,Unknown,Yes,Yes,Unknown,"Texas, Austin"
Day-Date 36,1803,Automatic,Yellow gold,Calf skin,1972,Used,Male,19525,132,L'Atelier du Temps - Les Puces,1570,Gold,None,1803,Good,No,Yes,France,Saint-Ouen
Datejust 36,16018,Automatic,Yellow gold,Yellow gold,1978,Used,Male,34906,194,ROYAL WATCH,Unknown,Black,None,16018,Very good,Yes,Yes,Poland,Kraków
Daytona,116509,Automatic,White gold,White gold,2009,Used,Male,97352,106,LUXURY TRADING ZURICH GMBH,4130,Blue,Arabic,116509,Good,Yes,Yes,Switzerland,Zürich
Day-Date 36,18238,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,26108,151,Luxuriant Concierge,3055,Gold,None,18238,Unknown,No,No,Unknown,Unknown
Day-Date 40,228349RBR,Unknown,Unknown,Unknown,Unknown,nan,Unknown,76289,151,TNS Diamonds,Unknown,,,228349RBR,Unknown,No,No,Unknown,Unknown
Daytona,116515LN,Automatic,Rubber,Rubber,Unknown,Used,Unknown,68089,306,GMT,Unknown,,,116515ln,Very good,Yes,Yes,Unknown,Unknown
Datejust 41,126334,Automatic,Steel,Steel,2024,Like new & unworn,Male,22394,328,LBJ Watches Ltd,3135,Green,None,126334,Unknown,Yes,Yes,United Kingdom,London
GMT-Master,16700,Automatic,Steel,Steel,1990,Used,Male,21984,175,Rarist,3185,Unknown,,16700,Very good,No,No,Unknown,Unknown
Yacht-Master 40,16623,Automatic,Yellow gold,Yellow gold,Unknown,nan,Male,17547,151,Peter Machlup Fine Wristwatches Pty Ltd,3135,White,None,16623,Unknown,No,No,Unknown,Unknown
Daytona,116518LN,Automatic,Yellow gold,Rubber,2021,Used,Male,66450,0,Garibotti Orologi,4130,Champagne,None,116518LN,Very good,Yes,Yes,Italy,Brescia
Yacht-Master 40,16622,Automatic,Steel,Steel,Unknown,nan,Male,19983,415,Juwelier Saro,Unknown,,,16622,Unknown,No,No,Unknown,Unknown
GMT-Master II,No Reference,Automatic,Steel,Steel,Unknown,nan,Unknown,19163,102,GMT,Unknown,Black,,No Reference,Unknown,No,No,Japan,Tokyo
Daytona,126503,Automatic,Gold/Steel,Gold/Steel,2024,Like new & unworn,Male,39044,229,Watch Affinity,4131,Gold,None,126503,Unknown,Yes,Yes,Unknown,"Texas, Austin"
GMT-Master II,126711,Automatic,Gold/Steel,Gold/Steel,Unknown,Used,Male,27149,761,"CollectorsWatches - Massapequa Park, NY",Unknown,,,126711CHNR,Very good,Yes,Yes,Unknown,"New York, Massapequa Park"
Datejust 36,126234,Automatic,Steel,Steel,2024,nan,Unknown,22887,0,WPB Watch Co,3135,Purple,Roman,126234,Unknown,No,No,Unknown,Unknown
Datejust 41,126300,Automatic,Steel,Steel,Unknown,Like new & unworn,Male,16456,0,Luxury Time NYC,3135,White,None,126300,Unknown,Yes,Yes,Unknown,"New York, New York"
Datejust 41,126300,Automatic,Steel,Steel,2023,Used,Unknown,18413,398,WatchTraderUK,Unknown,,,126300,Very good,Yes,Yes,Unknown,Unknown
Submariner Date,116613LB,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,21354,151,BRP Luxury,3135,Blue,None,116613LB,Unknown,No,No,Unknown,Unknown
Oyster Perpetual 36,126000,Automatic,Steel,Steel,Unknown,nan,Male,20896,0,QD Watches,Unknown,,,126000,Unknown,No,No,Unknown,Unknown
GMT-Master II,126710BLRO,Automatic,Steel,Steel,Unknown,nan,Male,29753,151,European Watch Company,Unknown,Unknown,,126710BLRO,Unknown,No,No,Unknown,Unknown
Sky-Dweller,326933,Automatic,Steel,Steel,Unknown,nan,Unknown,30898,304,David and Sons Timepieces,Unknown,,,No Reference,Unknown,No,No,Unknown,"California, Del Mar"
GMT-Master II,16710,Automatic,Steel,Steel,Unknown,nan,Male,19797,151,DavidSW,3185,Black,None,16710,Unknown,No,No,Unknown,Unknown
Daytona,16520A,Automatic,Steel,Steel,Unknown,nan,Unknown,44134,833,thewatchcollectors.com,Unknown,,,16520,Unknown,No,No,Belgium,Knokke-Le-Zoute
Oysterdate Precision,6466,Manual winding,Steel,Leather,Unknown,Used,Male,3683,40,Watch stall,Unknown,,,6466,Very good,No,Yes,United Kingdom,Milton Keynes
Day-Date 36,1803,Automatic,Rose gold,Rose gold,Unknown,Used,Unknown,36049,151,Essential-Watches.com,Unknown,,,1803,Very good,Yes,Yes,Unknown,Unknown
Sea-Dweller,2199c,Automatic,Steel,Steel,2022,Like new & unworn,Male,25148,67,ABP Concept,Unknown,,,No Reference,Unknown,Yes,Yes,France,Paris
Oyster Perpetual Date,115200,Automatic,Steel,Steel,Unknown,nan,Male,9231,305,Arda and Co.,3135,Silver,None,115200,Unknown,No,No,Unknown,Unknown
Daytona,116503,Automatic,Gold/Steel,Gold/Steel,2022,Like new & unworn,Male,39371,116,Exclusive Time,4130,Black,None,116503,Unknown,Yes,Yes,Poland,Kraków
Sea-Dweller,1665,Automatic,Steel,Steel,Unknown,nan,Male,30727,291,Watchdeals,Unknown,Black,None,1665,Unknown,No,No,Unknown,Unknown
126508,No Reference,Unknown,Yellow gold,Unknown,Unknown,nan,Unknown,77816,151,Watches OFF 5TH,4131,Black,None,126508,Unknown,No,No,Unknown,Unknown
Datejust 41,126333,Automatic,Gold/Steel,Gold/Steel,Unknown,Like new & unworn,Male,26236,0,Luxury Time NYC,3135,Champagne,None,No Reference,Unknown,Yes,Yes,Unknown,"New York, New York"
Oyster Perpetual Date,15010,Automatic,Steel,Steel,Unknown,nan,Male,8492,0,wed ludovisi,3035,Silver,None,15010,Unknown,No,No,Unknown,Unknown
Oysterdate Precision,6694,Manual winding,Steel,Steel,1964,Used,Male,5996,415,demcoquartz,1225,Unknown,,6694,Very good,No,No,Unknown,Unknown
Cellini,6110,Quartz,Yellow gold,Yellow gold,2024,nan,Unknown,5996,316,Arum S.L,Unknown,Unknown,,6110,Unknown,No,No,Unknown,Unknown
Daytona,116500LN,Automatic,Steel,Steel,Unknown,nan,Male,45164,0,Atlanta Luxury Watches & Jewelry,4130,Black,None,116500LN,Unknown,No,No,Unknown,Unknown
Datejust 31,178240,Automatic,Steel,Steel,Unknown,nan,Female,10192,305,Arda and Co.,2235,Blue,,178240,Unknown,No,No,Unknown,Unknown
Datejust 36,16233,Automatic,Yellow gold,Gold/Steel,1996,Used,Male,11075,500,A.L. timepieces,3135,Blue,None,16233,Very good,Yes,Yes,Italy,Milano
Daytona,116505,Automatic,Rose gold,Rose gold,2020,Used,Male,Unknown,433,Jean Mick,4030,White,None,116505,Good,Yes,Yes,France,Paris
Submariner Date,116610LV,Automatic,Steel,Steel,Unknown,nan,Male,36473,416,Gioielleria  Duca srl,3135,Green,None,116610LV,Unknown,No,No,Unknown,Unknown
Daytona,116588TBR,Automatic,Yellow gold,Rubber,2020,New,Male,323083,331,Xelor B.V.,Unknown,,,116588TBR,Unknown,Yes,Yes,Unknown,Amstelveen
Explorer II,216570,Automatic,Steel,Steel,2013,Used,Male,16512,0,Swiss Watch Company UK Ltd.,Unknown,,,216570,Very good,Yes,Yes,United Kingdom,London
GMT-Master II,116713LN,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,20995,305,Arda and Co.,3135,Black,None,116713LN,Unknown,No,No,Unknown,Unknown
Explorer II,226570,Automatic,Steel,Steel,2023,Like new & unworn,Male,22869,833,Bartłomiej Przybył,Unknown,White,None,226570,Unknown,Yes,Yes,Poland,Kraków
Oyster Perpetual Lady Date,69160,Automatic,Steel,Steel,Unknown,Used,Female,5035,151,LI Timepieces,2135,Black,Roman,69160,Very good,No,Yes,Unknown,"New York, Great Neck"
Daytona,116500LN,Automatic,Steel,Steel,Unknown,nan,Male,47910,305,Arda and Co.,4130,White,None,116500LN,Unknown,No,No,Unknown,Unknown
Oyster Perpetual Date,115200,Automatic,Steel,Steel,2010,Used,Male,11491,500,Bonanno Gioielleria,3135,Grey,None,115200,Very good,Yes,Yes,Italy,Roma
Sky-Dweller,326933,Automatic,Gold/Steel,Gold/Steel,Unknown,nan,Male,36619,153,Fancy Jewellery & Watches,3135,White,None,326933,Unknown,No,No,Unknown,Unknown
GMT-Master,1675,Automatic,Steel,Steel,Unknown,nan,Male,25814,115,CORELLO,Unknown,Unknown,,1675,Unknown,No,No,Unknown,Unknown
Air King,114200,Automatic,Steel,Steel,2008,Used,Male,8392,305,Lev Jewelers Inc.,3130,White,Arabic,114200,Very good,No,No,Unknown,"Florida, Aventura"
Submariner Date,16610,Automatic,Steel,Steel,Unknown,nan,Unknown,18236,333,Eupen Feine Uhren,Unknown,Unknown,,16610,Unknown,No,No,Germany,Köln
Oyster Perpetual Lady Date,6517,Automatic,Gold/Steel,Gold/Steel,2024,nan,Unknown,4497,0,Atelier Orologiaio,Unknown,Unknown,,6517,Unknown,No,No,Unknown,Unknown
Oyster,6424,Manual winding,Steel,Steel,1950,Used,Male,5034,151,SwissIce,Unknown,,,6424,Fair,No,Yes,Unknown,"California, Pleasanton"
Daytona,6239,Manual winding,Steel,Steel,Unknown,nan,Male,91598,250,Maurizio De Angelis,Unknown,Unknown,,6239,Unknown,No,No,Unknown,Unknown
Daytona,16520,Automatic,Steel,Steel,1994,Used,Male,74111,250,ARTE ORAFA SAS,Unknown,White,None,16520,Very good,Yes,Yes,Italy,Zevio
Datejust 41,126331,Automatic,Gold/Steel,Gold/Steel,2024,New,Male,28853,328,LBJ Watches Ltd,3135,Grey,None,126331,Unknown,Yes,Yes,United Kingdom,London
Submariner Date,6567RE,Automatic,Steel,Steel,2000,Used,Male,16488,115,TIMEOUTLET SPAIN S.L.,Unknown,Unknown,,No Reference,Good,Yes,Yes,Spain,Marbella
Sea-Dweller 4000,16600,Automatic,Unknown,Unknown,Unknown,nan,Unknown,12194,0,Huntington Watch,Unknown,,,16600,Unknown,No,No,Unknown,Unknown
Sea-Dweller Deepsea,116660,Automatic,Steel,Steel,2017,Like new & unworn,Male,24232,175,Rarist,3135,Unknown,,116660,Unknown,Yes,Yes,Poland,Kraków
Sky-Dweller,336934,Automatic,Steel,Steel,2023,Like new & unworn,Male,35551,229,Watch Affinity,9002,Blue,None,336934,Unknown,Yes,Yes,Unknown,"Texas, Austin"
Oyster Perpetual 41,124300,Automatic,Steel,Steel,Unknown,Used,Unknown,26921,408,"Ueda Co., Ltd.",Unknown,,,124300,Very good,Yes,Yes,Unknown,Unknown
