Model,Reference number,Movement,Case material,Bracelet material,Year of production,Condition,Gender,Price,shipping,Seller Name,Base caliber,Dial,Dial numerals,Confirm Reference Number ,Condition Details,Box,Papers,Country,City
Datejust 36,116200,Automatic,Steel,Steel,Unknown,nan,Male,10800,0,Rothschild Trading Company,3135,Black,,116200,Unknown,No,No,Unknown,Unknown
Datejust 36,1603,Automatic,Steel,Steel,Unknown,nan,Male,7148,71,Pawn Shop WATARIDA,1560,Unknown,,1603,Unknown,No,No,Unknown,Unknown
GMT-Master II,126710BLRO,Automatic,Steel,Steel,2018,Used,Male,30270,304,Pauls Watch Repair,3186,Unknown,,126710BLRO,Good,Yes,Yes,Unknown,"California, Sacramento"
Sea-Dweller,1665,Automatic,Steel,Steel,1982,Used,Male,46880,166,CHRONO.dk,1570,Black,None,1665,Good,No,No,Denmark,Hellerup
Submariner Date,126613LN,Automatic,Gold/Steel,Gold/Steel,2024,New,Male,28302,608,My Watch LLC,Unknown,Black,None,126613LN,Unknown,Yes,Yes,Unknown,"Michigan, Oak Park, Mi"
Explorer I,124273,Automatic,Gold/Steel,Gold/Steel,2021,Used,Male,16389,0,Unknown,Unknown,Black,Arabic,124273,Very good,Yes,Yes,France,Nantes
Submariner Date,126610LV,Automatic,Steel,Steel,Unknown,nan,Male,21677,243,Tarrytown Jewelers,Unknown,,,126610lv,Unknown,No,No,Unknown,Unknown
GMT-Master II,126710BLRO,Automatic,Steel,Steel,2020,Used,Male,30106,196,Ming Watch Channel (HK) Limited,3186,Black,None,126710BLRO,Very good,Yes,Yes,Hong Kong,Kowloon
Datejust 41,126334,Automatic,Steel,Steel,2023,New,Male,20726,380,Watch Time Fly USA,3135,Grey,None,126334,Unknown,Yes,Yes,Unknown,"New York, New York"
Datejust 41,126334,Automatic,White gold,Steel,2024,Like new & unworn,Male,23357,994,Wrist Chaser,3135,Green,None,126334,Unknown,Yes,Yes,United Kingdom,London
Daytona,116500LN,Automatic,Steel,Steel,2022,Like new & unworn,Male,45940,761,Giganti & Giganti Fine Jewelry,4130,White,None,116500LN,Unknown,Yes,Yes,Unknown,"Illinois, Springfield"
Sky-Dweller,326938,Automatic,Yellow gold,Yellow gold,2022,New,Male,69214,151,Watches OFF 5TH,3135,White,Arabic,326938,Unknown,Yes,Yes,Unknown,"New York, New York"
Datejust 36,126234,Automatic,Steel,Steel,2024,Used,Male,24875,0,Watchpanda,3135,Purple,Roman,126234,Very good,Yes,Yes,Germany,Eislingen
Sea-Dweller Deepsea,116660,Automatic,Steel,Steel,2012,Used,Male,19135,83,Vintage Watchking,3135,Black,None,116660,Good,Yes,Yes,Germany,Hamburg
Submariner Date,126610LN,Automatic,Steel,Steel,Unknown,nan,Male,20741,0,Affordable Swiss Watches Inc.,Unknown,Black,None,126610LN,Unknown,No,No,Unknown,Unknown
Datejust 36,116233,Automatic,Gold/Steel,Gold/Steel,2024,nan,Unknown,16304,131,SwissOnly,3135,Blue,None,116233,Unknown,No,No,Unknown,Unknown
Datejust 36,116234,Automatic,Steel,Steel,Unknown,nan,Male,14718,151,DavidSW,3135,Silver,None,116234,Unknown,No,No,Unknown,Unknown
Yacht-Master 40,126621,Automatic,Gold/Steel,Gold/Steel,2024,nan,Unknown,27454,200,Joyería Libremol,Unknown,Brown,None,126621,Unknown,No,No,Unknown,Unknown
Oysterdate Precision,6694,Manual winding,Steel,Steel,1974,Used,Male,4492,0,Keter Banco Metalli,1225,Black,None,6694,Very good,No,No,Unknown,Unknown
